id_siswa,durasi_klik,waktu_modul,ulang_video,skor_kuis,login_frekuensi,label_churn_kmeans
S-0560,396659.65,17.96,1.0,40.22,0,1
S-0561,1069.29,36.21,1.0,99.12,3,2
S-0562,2756834.96,76.2,2.0,65.89,3,2
S-0563,544459.4,15.13,1.0,31.42,3,1
S-0564,2538.46,109.93,4.0,62.55,4,0
S-0565,1113.15,35.64,0.0,94.28,3,2
S-0566,3390.55,98.14,2.0,74.83,4,0
S-0567,2653.85,106.51,3.0,67.97,4,0
S-0568,1591.56,37.63,0.0,99.83,3,2
S-0569,2886.94,99.34,2.0,81.31,5,0
S-0570,2646.68,85.2,5.0,87.98,4,0
S-0571,399.67,16.33,0.0,39.49,1,1
S-0572,2118.52,98.06,5.0,71.26,4,0
S-0573,221.34,20.55,0.0,66.87,1,1
S-0574,290.07,12.1,0.0,32.96,1,1
S-0576,315.98,25.9,1.0,16.27,1,1
S-0577,2609.18,74.56,0.0,55.13,3,2
S-0578,2242.12,125.8,6.0,81.07,6,0
S-0579,2150.14,74.07,4.0,80.47,4,0
S-0580,556.49,58.38,2.0,96.39,2,2
S-0581,2343.16,68.94,8.0,77.19,3,0
S-0582,340.29,10.97,1.0,56.54,1,1
S-0584,2564.78,87.14,5.0,74.92,7,0
S-0585,2783.0,106.31,5.0,57.31,3,0
S-0586,1779.22,106.9,6.0,55.08,6,0
S-0587,1973.49,60.84,5.0,66.9,4,0
S-0588,2447.78,61.27,7.0,64.34,5,0
S-0589,3096240.55,58.41,6.0,60.05,5,0
S-0590,2737.49,95.82,5.0,51.72,6,0
S-0591,2090.76,94.44,5.0,78.45,3,0
S-0592,423.66,13.92,0.0,35.2,0,1
S-0593,281.94,13.62,2.0,16.69,3,1
S-0594,155.7,25.59,1.0,69.91,1,1
S-0595,1255.48,57.43,2.0,93.62,3,2
S-0596,851.19,35.82,0.0,94.9,4,2
S-0597,2222.77,97.98,8.0,76.48,6,0
S-0598,2454.02,67.67,4.0,70.74,5,0
S-0599,1284.76,34.22,3.0,70.0,4,2
S-0600,373.89,8.7,1.0,15.61,3,1
S-0601,268.72,9.88,1.0,38.55,0,1
S-0602,1074.27,30.09,2.0,95.37,5,2
S-0604,3533.71,87.24,4.0,62.07,4,0
S-0605,3088.49,96.34,5.0,75.44,5,0
S-0606,1361.59,51.4,1.0,100.0,4,2
S-0607,962.84,42.73,1.0,88.54,4,2
S-0608,842.69,41.63,1.0,85.4,6,2
S-0609,1595.52,49.71,1.0,91.63,3,2
S-0611,286728.6,12.07,1.0,45.28,1,1
S-0612,133633.12,5.49,0.0,33.24,1,1
S-0613,286.1,13.8,0.0,26.37,1,1
S-0614,1441.3,58.86,2.0,86.95,4,2
S-0615,1396.21,33.66,2.0,92.91,5,2
S-0616,3148.97,106.81,2.0,72.07,5,0
S-0617,459.96,13.12,1.0,46.29,1,1
S-0618,1803.13,137.87,6.0,40.71,4,0
S-0619,3106.29,57.13,6.0,85.4,4,0
S-0620,1419.04,43.2,0.0,89.53,4,2
S-0621,1051.93,49.65,1.0,100.0,3,2
S-0622,189.29,12.65,0.0,36.02,1,1
S-0623,3169.52,95.48,7.0,50.04,5,0
S-0624,638.54,38.14,2.0,100.0,3,2
S-0625,2754.82,132.31,3.0,57.23,5,0
S-0626,2755.24,80.49,8.0,55.84,4,0
S-0628,1984291.63,83.13,4.0,91.48,5,0
S-0629,469.76,15.99,1.0,43.81,2,1
S-0630,2588.12,134.65,4.0,67.0,5,0
S-0631,2476.79,95.6,6.0,64.91,4,0
S-0633,258.05,19.4,0.0,53.72,0,1
S-0634,2467.92,114.3,2.0,82.08,7,0
S-0635,1382.07,43.31,1.0,77.6,2,2
S-0636,233.12,18.34,0.0,17.79,0,1
S-0638,3957.21,109.65,2.0,66.22,6,0
S-0639,1121.09,35.59,0.0,84.72,4,2
S-0640,1107.99,41.39,1.0,90.48,5,2
S-0641,2559.77,65.16,9.0,71.33,5,0
S-0642,1769.7,55.08,8.0,73.16,5,0
S-0643,3251.8,77.02,5.0,79.43,5,0
S-0644,312.47,15.44,2.0,41.88,1,1
S-0645,329.55,14.02,0.0,34.89,1,1
S-0646,2293.7,50.83,1.0,71.71,5,2
S-0647,221.81,18.45,0.0,36.07,3,1
S-0648,1295.47,42.63,1.0,89.1,5,2
S-0649,1278.03,40.43,0.0,88.03,3,2
S-0650,2132.35,79.94,6.0,53.96,6,0
S-0651,340.63,23.76,0.0,53.13,1,1
S-0652,308.58,5.22,1.0,41.08,0,1
S-0653,1102.87,51.15,2.0,79.14,3,2
S-0654,2113.01,64.7,2.0,43.72,5,0
S-0655,1076.59,56.71,1.0,100.0,5,2
S-0656,1143.24,46.77,1.0,80.67,4,2
S-0657,1682.52,30.0,1.0,77.46,3,2
S-0658,2193.26,95.22,4.0,79.84,5,0
S-0660,2331.75,87.69,4.0,65.04,5,0
S-0661,344.25,16.76,0.0,49.05,0,1
S-0662,1926.57,86.11,6.0,55.13,5,0
S-0663,1262119.98,40.74,0.0,100.0,2,2
S-0664,2039.86,101.6,6.0,60.0,6,0
S-0665,2898.17,71.49,4.0,54.31,4,0
S-0666,216.18,20.46,1.0,55.07,2,1
S-0667,272.29,6.56,0.0,44.04,0,1
S-0668,2508.62,121.34,2.0,53.28,6,0
S-0669,1639555.71,46.51,2.0,76.2,6,2
S-0670,2527.03,88.33,5.0,43.09,6,0
S-0671,1883.74,88.26,2.0,80.48,5,2
S-0672,1073.05,43.9,0.0,95.53,3,2
S-0673,1679846.44,95.52,7.0,62.77,6,0
S-0674,347.5,10.71,0.0,10.0,2,1
S-0675,2173.12,98.09,4.0,89.05,7,0
S-0676,2461.95,59.99,4.0,51.53,4,0
S-0677,3112424.85,84.71,7.0,66.39,4,0
S-0678,61.23,8.24,1.0,44.42,1,1
S-0679,2689.89,78.77,8.0,88.68,6,0
S-0680,2014.28,95.54,2.0,67.26,5,0
S-0682,1431.49,45.38,1.0,90.74,4,2
S-0683,985.29,54.34,1.0,81.17,4,2
S-0684,2880.12,93.43,5.0,55.25,5,0
S-0685,325.93,18.14,0.0,40.71,1,1
S-0686,2397.08,92.1,7.0,78.06,6,0
S-0687,2179.74,74.23,3.0,78.84,5,0
S-0688,250.68,12.23,0.0,67.01,1,1
S-0689,486.64,17.43,0.0,53.99,1,1
S-0690,2246.6,92.01,5.0,77.15,5,0
S-0691,399.41,15.57,0.0,31.93,2,1
S-0692,256.95,19.62,0.0,34.13,0,1
S-0693,3405824.1,78.53,8.0,78.93,6,0
S-0694,1213.07,40.4,1.0,94.5,5,2
S-0695,345.29,7.92,0.0,45.32,0,1
S-0696,2742.01,87.72,6.0,62.95,6,0
S-0697,1045.12,46.4,0.0,83.91,4,2
S-0698,2979.25,110.1,7.0,72.26,5,0
S-0699,2937.4,80.87,3.0,78.69,4,0
S-0700,1635.73,58.16,0.0,79.21,4,2
S-0701,1524.94,41.33,0.0,83.07,3,2
S-0702,1747.0,78.29,6.0,53.4,5,0
S-0703,1894.2,92.67,0.0,55.26,4,2
S-0704,1435.97,96.59,2.0,78.69,6,0
S-0705,1046.71,59.66,1.0,92.35,5,2
S-0706,140.25,20.43,0.0,38.41,1,1
S-0708,3279064.26,92.92,5.0,68.16,6,0
S-0709,2121834.76,122.62,4.0,80.24,3,0
S-0710,2304.18,82.93,6.0,86.96,4,0
S-0711,2231.11,103.1,5.0,74.96,3,0
S-0712,229.15,17.86,0.0,10.0,1,1
S-0713,2433.82,112.84,4.0,55.76,4,0
S-0714,249734.77,18.12,0.0,26.54,2,1
S-0715,165.17,19.84,1.0,31.97,1,1
S-0716,153.04,10.16,0.0,20.8,3,1
S-0717,2624.83,108.06,8.0,64.61,7,0
S-0719,331.41,13.59,1.0,46.33,0,1
S-0720,533.21,9.74,0.0,29.62,1,1
S-0721,471.68,13.52,0.0,58.54,1,1
S-0722,1991853.59,103.34,9.0,92.04,3,0
S-0723,2664.86,70.87,6.0,73.24,5,0
S-0724,1130317.42,37.09,0.0,93.07,4,2
S-0725,2293.41,48.0,6.0,52.6,4,0
S-0726,2012.44,131.1,9.0,58.63,5,0
S-0727,2790.28,62.17,4.0,94.6,5,2
S-0728,1956.17,74.7,7.0,66.21,5,0
S-0729,1085.24,66.91,0.0,100.0,5,2
S-0730,2850.01,90.15,2.0,64.53,5,0
S-0731,2146.45,145.66,8.0,37.01,6,0
S-0732,3155.96,84.06,5.0,76.17,3,0
S-0733,112.64,21.66,1.0,29.34,3,1
S-0734,2524.55,62.85,3.0,52.12,3,0
S-0735,1204.08,52.07,1.0,73.96,4,2
S-0736,2908.48,109.98,8.0,59.62,4,0
S-0737,1058.78,57.99,2.0,85.2,4,2
S-0738,593.89,50.34,1.0,95.5,5,2
S-0739,79.86,18.96,1.0,29.98,0,1
S-0740,1311.96,58.14,1.0,100.0,4,2
S-0741,2445.13,81.33,5.0,31.93,6,0
S-0742,2848.6,121.4,7.0,57.91,5,0
S-0743,2784.67,96.42,6.0,62.56,6,0
S-0744,1879.88,80.96,9.0,82.89,5,0
S-0745,420.82,13.05,0.0,59.59,0,1
S-0746,360.7,15.93,1.0,61.2,0,1
S-0747,2785.75,87.57,5.0,86.91,6,0
S-0748,1099.92,41.78,1.0,76.27,4,2
S-0749,368.23,11.15,1.0,40.17,0,1
S-0750,373753.41,13.2,1.0,50.67,1,1
S-0751,885.76,67.48,1.0,89.6,4,2
S-0752,1695.5,76.54,2.0,66.72,4,2
S-0753,2463.38,97.79,2.0,33.57,5,0
S-0754,270833.3,15.57,0.0,35.34,3,1
S-0755,2484491.99,106.45,9.0,63.36,5,0
S-0756,2583.05,73.41,5.0,73.09,5,0
S-0757,1009.43,41.82,2.0,96.96,4,2
S-0758,1798.3,107.11,0.0,79.42,8,2
S-0759,2148.94,91.39,2.0,75.01,5,0
S-0760,2472.94,100.97,4.0,92.19,5,0
S-0761,326.91,16.5,0.0,47.48,3,1
S-0762,1584.89,80.79,3.0,40.3,6,0
S-0763,313.17,15.46,1.0,19.32,0,1
S-0764,2157.0,115.86,7.0,47.33,3,0
S-0765,1766.28,126.54,2.0,75.5,6,0
S-0766,1227.42,44.18,1.0,85.21,5,2
S-0767,2393094.13,69.79,5.0,59.53,6,0
S-0768,247.78,13.29,1.0,39.28,1,1
S-0769,2885.38,112.61,2.0,54.53,5,0
S-0770,249.7,6.26,0.0,29.04,1,1
S-0771,2188.39,91.38,5.0,67.16,5,0
S-0772,244.43,9.2,1.0,59.57,0,1
S-0773,3236.26,74.03,3.0,55.93,5,0
S-0774,2822.16,94.72,8.0,73.77,6,0
S-0775,195.19,19.51,1.0,43.82,2,1
S-0776,2197.64,98.42,5.0,71.17,4,0
S-0777,1008.0,57.23,2.0,80.79,6,2
S-0778,337.03,18.74,0.0,53.0,2,1
S-0779,3520.63,85.4,6.0,76.43,5,0
S-0780,2326.52,84.91,8.0,73.05,6,0
S-0781,438.51,18.52,0.0,11.56,2,1
S-0782,294.72,12.04,1.0,37.84,2,1
S-0783,1134.81,30.0,2.0,98.55,5,2
S-0784,907.98,30.0,1.0,95.18,2,2
S-0785,2138.2,86.12,4.0,78.68,6,0
S-0786,2151.24,70.87,3.0,12.34,4,0
S-0787,2724.33,114.65,6.0,78.65,7,0
S-0788,1136.57,66.3,0.0,84.82,3,2
S-0789,2669.55,93.83,4.0,76.64,4,0
S-0790,747.89,30.0,1.0,99.5,2,2
S-0791,322.1,10.28,1.0,49.49,0,1
S-0792,326.75,17.33,0.0,40.29,2,1
S-0793,298.63,13.67,1.0,38.55,0,1
S-0794,242.6,14.94,0.0,35.62,2,1
S-0795,2393.76,86.71,3.0,65.94,3,0
S-0796,3090542.73,127.57,5.0,95.17,4,0
S-0797,1540.69,45.5,1.0,84.99,2,2
S-0798,1369.7,58.08,2.0,79.84,4,2
S-0799,343.62,8.32,0.0,24.3,0,1
S-0801,1097.47,58.02,1.0,87.23,4,2
S-0802,2868.37,81.91,0.0,77.3,4,2
S-0803,1189744.54,38.22,0.0,83.68,3,2
S-0805,1892.8,99.62,4.0,56.52,5,0
S-0806,1424.84,42.5,1.0,97.65,4,2
S-0807,1044.81,52.87,1.0,81.03,2,2
S-0808,3004.42,103.59,4.0,52.55,6,0
S-0809,1058.0,36.17,2.0,78.58,5,2
S-0810,801.82,45.26,3.0,89.05,4,2
S-0811,1984.82,81.49,5.0,59.46,5,0
S-0812,2489.97,77.93,9.0,75.2,5,0
S-0813,2839.63,99.23,5.0,51.86,6,0
S-0814,280.38,8.93,0.0,12.28,0,1
S-0815,1278.2,38.58,0.0,98.5,5,2
S-0816,3141.9,88.56,5.0,83.56,5,0
S-0817,1464.32,46.98,2.0,94.66,2,2
S-0818,1099.0,58.14,5.0,75.07,6,0
S-0819,172.82,17.9,1.0,47.63,0,1
S-0820,2453.04,116.28,0.0,61.28,4,0
S-0821,205.66,19.92,1.0,18.65,1,1
S-0822,1010.36,41.94,1.0,100.0,3,2
S-0823,295.88,10.61,1.0,59.17,1,1
S-0825,201.6,11.59,1.0,57.91,2,1
S-0826,1988.79,113.93,6.0,66.25,5,0
S-0827,1741.0,72.0,6.0,65.51,4,0
S-0828,1207.08,42.7,1.0,85.24,3,2
S-0829,1197.23,53.86,1.0,84.83,5,2
S-0830,1003.25,45.12,1.0,90.49,4,2
S-0831,283.41,11.39,0.0,56.71,2,1
S-0833,2052.23,96.86,5.0,63.25,5,0
S-0834,279895.21,11.7,1.0,25.65,0,1
S-0835,2116.93,96.39,5.0,68.55,6,0
S-0836,164.85,5.0,1.0,28.27,4,1
S-0837,2646.85,90.41,0.0,67.27,6,2
S-0838,1044.53,46.01,0.0,100.0,4,2
S-0839,549.06,25.82,2.0,41.27,3,1
S-0840,2519.96,80.7,7.0,57.31,6,0
S-0841,207.44,10.29,1.0,61.74,1,1
S-0842,1950.69,62.4,6.0,59.19,5,0
S-0843,3055.06,73.38,3.0,53.47,4,0
S-0844,1431.39,42.24,2.0,85.33,5,2
S-0845,1376181.74,54.75,2.0,87.86,5,2
S-0846,1290.8,60.0,2.0,96.52,5,2
S-0847,2390.24,67.92,2.0,30.01,4,0
S-0848,1128.74,47.23,0.0,72.94,3,2
S-0850,3324.54,109.85,6.0,64.04,4,0
S-0851,306996.25,10.81,0.0,59.18,0,1
S-0852,1104362.76,32.84,0.0,85.21,5,2
S-0853,295.09,14.69,0.0,39.48,1,1
S-0854,329868.52,15.68,1.0,25.46,1,1
S-0855,894.62,40.66,1.0,100.0,4,2
S-0856,1784.17,75.54,5.0,38.26,7,0
S-0857,1350.68,53.35,0.0,85.22,3,2
S-0858,1325.39,67.53,0.0,84.58,4,2
S-0861,1337.24,49.93,0.0,90.44,6,2
S-0862,2489.9,101.78,0.0,47.79,5,0
S-0863,436205.86,18.31,1.0,64.48,0,1
S-0864,1222.91,58.68,0.0,99.97,5,2
S-0865,335.74,8.02,0.0,46.33,0,1
S-0866,167.53,15.22,0.0,27.08,1,1
S-0867,449.82,12.85,0.0,50.05,1,1
S-0868,301591.45,11.88,1.0,43.39,2,1
S-0869,357696.24,17.55,0.0,70.04,2,1
S-0870,2811687.47,83.68,5.0,66.25,5,0
S-0871,3059095.24,115.42,4.0,57.4,6,0
S-0872,1862.72,109.49,7.0,87.59,5,0
S-0873,259.83,20.27,0.0,38.45,2,1
S-0874,2439.58,92.57,6.0,67.78,5,0
S-0875,364.65,13.04,1.0,54.38,0,1
S-0876,224046.04,10.11,1.0,38.06,0,1
S-0879,300.78,23.6,0.0,38.52,3,1
S-0880,2093.23,60.17,4.0,70.84,5,0
S-0881,985.59,43.15,1.0,78.78,5,2
S-0882,87.92,17.39,1.0,37.08,1,1
S-0883,826393.38,52.72,1.0,88.25,4,2
S-0884,1203.75,52.87,1.0,79.11,4,2
S-0886,467.82,19.89,0.0,20.13,2,1
S-0887,1205.83,32.43,1.0,89.61,4,2
S-0888,1498.8,33.36,2.0,89.28,5,2
S-0889,769.38,43.49,1.0,80.56,4,2
S-0890,498454.43,11.83,0.0,30.61,0,1
S-0891,2454.93,105.54,6.0,29.76,5,0
S-0892,2994.66,110.48,7.0,59.56,6,0
S-0893,961.31,46.4,1.0,75.12,4,2
S-0894,3117.47,114.41,5.0,59.86,3,0
S-0895,309.96,9.38,1.0,16.82,1,1
S-0896,1234.98,52.37,1.0,88.63,5,2
S-0897,991.79,43.81,0.0,80.2,4,2
S-0898,132.74,13.29,0.0,56.32,1,1
S-0899,988.36,53.47,0.0,98.05,4,2
S-0900,143.78,12.27,1.0,18.08,1,1
S-0901,2244.72,174.59,5.0,64.32,3,0
S-0902,317.76,18.7,1.0,41.95,1,1
S-0903,289.5,17.84,1.0,51.5,3,1
S-0904,2929.25,100.03,6.0,78.44,4,0
S-0905,2464.77,117.12,0.0,71.93,4,2
S-0906,2236.28,89.01,4.0,92.29,4,0
S-0907,181.32,23.13,2.0,21.27,0,1
S-0908,3078.88,78.22,7.0,64.59,5,0
S-0909,1143.45,33.6,0.0,94.78,3,2
S-0910,170926.84,12.27,0.0,31.55,0,1
S-0911,1045.47,31.91,3.0,86.67,5,2
S-0912,2244.36,99.34,6.0,49.37,4,0
S-0913,2719.06,99.54,4.0,75.22,5,0
S-0914,273.08,21.35,1.0,32.61,1,1
S-0915,871.8,41.57,0.0,88.28,4,2
S-0916,2753.39,89.88,6.0,98.78,3,0
S-0917,1932.66,49.33,0.0,99.61,3,2
S-0918,1763.03,73.08,6.0,54.73,4,0
S-0919,2416.31,111.35,6.0,66.02,6,0
S-0920,342.53,13.79,0.0,55.49,0,1
S-0921,190.36,12.61,2.0,48.16,2,1
S-0922,2561181.38,84.7,0.0,53.37,5,2
S-0923,1557.41,42.6,1.0,90.37,3,2
S-0924,419.28,20.16,0.0,26.41,0,1
S-0925,274.31,8.1,0.0,19.67,1,1
S-0926,2247.33,84.08,5.0,50.47,5,0
S-0927,3446825.34,120.34,7.0,71.33,6,0
S-0928,180.25,9.46,0.0,55.83,1,1
S-0929,716.8,66.55,0.0,89.99,3,2
S-0930,363.3,7.77,0.0,39.49,3,1
S-0931,2509.84,99.89,3.0,73.92,4,0
S-0932,3071.47,81.78,7.0,79.52,5,0
S-0933,2253.06,91.75,8.0,52.01,4,0
S-0934,1694.15,116.79,6.0,57.61,7,0
S-0935,2795.88,97.24,4.0,60.37,5,0
S-0936,227.8,16.28,0.0,18.45,2,1
S-0937,2433.47,99.25,0.0,42.55,4,0
S-0938,1416.13,34.71,2.0,80.15,4,2
S-0939,309438.48,27.8,0.0,49.23,1,1
S-0940,429.06,20.72,0.0,58.52,2,1
S-0941,2280.66,79.81,2.0,66.17,5,0
S-0942,315.85,20.47,0.0,45.64,2,1
S-0943,2158.95,112.4,6.0,58.53,4,0
S-0944,3356.89,99.37,3.0,61.68,5,0
S-0945,1253.11,45.02,2.0,100.0,3,2
S-0946,2523.97,66.98,4.0,96.81,6,2
S-0947,1490.47,47.48,0.0,83.01,3,2
S-0948,2310.02,66.88,6.0,48.38,5,0
S-0949,2790.65,97.34,9.0,63.68,6,0
S-0950,2359021.21,105.94,4.0,69.36,4,0
S-0951,1215.0,37.05,0.0,88.3,5,2
S-0952,1308.71,46.84,1.0,95.04,2,2
S-0953,932.22,36.26,0.0,78.74,4,2
S-0954,1125.53,48.81,1.0,94.81,2,2
S-0955,277.65,13.45,1.0,33.34,1,1
S-0956,379.67,10.01,0.0,41.9,0,1
S-0957,384.92,6.98,1.0,28.51,1,1
S-0958,2023.81,76.93,7.0,49.54,6,0
S-0959,1183.4,51.99,0.0,100.0,5,2
S-0960,420437.82,16.17,0.0,39.47,2,1
S-0961,1851.18,43.83,1.0,77.15,6,2
S-0962,2563.43,81.15,4.0,53.2,5,0
S-0963,294.42,10.74,1.0,12.2,2,1
S-0964,2722.05,74.73,8.0,50.06,5,0
S-0965,1290.71,50.54,1.0,81.24,5,2
S-0966,1259.4,51.86,0.0,84.59,4,2
S-0968,2718.67,105.42,3.0,92.88,6,0
S-0969,395.68,19.94,0.0,44.47,2,1
S-0970,463.96,14.98,0.0,26.61,0,1
S-0971,278.61,16.16,1.0,33.9,2,1
S-0972,3117.26,93.59,3.0,56.4,5,0
S-0973,1037.41,37.22,1.0,82.57,3,2
S-0974,2450.29,63.33,0.0,54.35,5,2
S-0975,913.38,30.4,0.0,93.33,4,2
S-0976,1883.19,69.77,3.0,88.22,3,2
S-0977,362.44,21.69,0.0,36.87,1,1
S-0978,2544.84,131.81,5.0,68.02,4,0
S-0979,374.85,12.57,0.0,46.18,2,1
S-0980,2122.61,76.4,5.0,69.22,5,0
S-0981,3211.59,78.02,4.0,73.28,4,0
S-0982,1103.71,39.82,2.0,93.49,4,2
S-0983,2699.5,104.57,2.0,73.47,4,0
S-0984,2391.61,69.58,0.0,61.21,4,2
S-0985,389.77,18.02,0.0,36.92,0,1
S-0986,1101039.66,63.07,0.0,92.65,6,2
S-0987,2358.28,83.46,4.0,49.4,3,0
S-0988,1052.62,44.08,2.0,96.66,4,2
S-0989,323.79,11.68,1.0,47.86,1,1
S-0990,822.86,38.07,1.0,95.14,5,2
S-0991,271930.75,10.07,0.0,50.83,1,1
S-0992,1090.15,62.31,1.0,96.37,5,2
S-0993,1495.07,53.38,0.0,87.92,4,2
S-0995,2565.34,84.48,4.0,49.69,6,0
S-0996,2597575.1,65.4,6.0,52.63,4,0
S-0997,416.3,16.11,0.0,18.43,2,1
S-0998,1725.65,63.59,4.0,56.09,6,0
S-0999,2638.67,79.16,3.0,48.82,4,0
S-1000,183.55,11.61,0.0,52.59,2,1
S-1001,2267.05,86.43,5.0,62.64,6,0
S-1002,914816.04,43.68,0.0,95.84,6,2
S-1003,2384.42,114.06,3.0,77.5,5,0
S-1004,147.11,13.96,0.0,48.6,4,1
S-1005,286.24,15.16,1.0,43.09,0,1
S-1006,1488.95,45.72,2.0,88.32,4,2
S-1007,796.75,66.07,2.0,82.0,5,2
S-1008,1286.2,36.69,1.0,93.68,4,2
S-1009,2895.04,140.42,6.0,52.07,4,0
S-1010,2673679.6,111.29,5.0,63.2,8,0
S-1011,1025.63,49.23,2.0,100.0,4,2
S-1013,290.33,23.94,0.0,41.43,1,1
S-1014,2405.27,72.56,8.0,53.34,5,0
S-1015,2734087.03,54.45,5.0,61.79,6,0
S-1016,1773.5,46.83,0.0,78.96,4,2
S-1017,294.71,12.36,1.0,60.48,3,1
S-1018,1783.94,65.8,3.0,53.38,5,0
S-1019,2903.99,88.76,0.0,44.7,5,0
S-1021,2477.03,60.69,5.0,55.02,5,0
S-1022,209096.27,14.75,1.0,33.72,1,1
S-1023,1179.89,33.03,0.0,91.63,4,2
S-1024,1521.86,33.32,2.0,93.34,3,2
S-1025,3164.25,126.75,4.0,65.06,5,0
S-1026,395142.41,27.28,1.0,17.67,0,1
S-1027,350.91,11.48,1.0,50.53,2,1
S-1028,2589644.17,100.91,5.0,60.26,5,0
S-1029,286009.02,20.99,1.0,20.32,1,1
S-1030,1258.45,43.81,2.0,89.14,5,2
S-1031,2439.02,121.0,8.0,54.93,6,0
S-1032,2155.46,112.28,4.0,68.44,4,0
S-1033,1196.79,38.16,1.0,77.93,4,2
S-1034,2159.64,96.23,5.0,34.74,3,0
S-1035,1115.55,55.17,0.0,95.49,5,2
S-1036,2662.56,96.86,6.0,76.12,6,0
S-1037,3230.24,124.28,6.0,74.14,6,0
S-1038,325.04,11.56,1.0,29.98,1,1
S-1039,2651.58,55.0,3.0,38.42,6,0
S-1040,2201.83,100.75,5.0,91.96,6,0
S-1041,2834.61,68.67,9.0,93.51,7,0
S-1042,2173.35,82.45,6.0,75.03,5,0
S-1043,1481.0,31.2,0.0,84.51,5,2
S-1044,2071.85,101.82,4.0,82.25,6,0
S-1045,1496.87,56.13,7.0,80.6,5,0
S-1046,1695.17,60.68,7.0,49.4,6,0
S-1047,2016.29,109.16,5.0,59.54,4,0
S-1048,2987.48,94.51,3.0,68.06,4,0
S-1049,1522.31,30.74,1.0,90.52,4,2
S-1050,282.34,11.87,1.0,31.82,0,1
S-1051,3196.3,88.34,2.0,86.49,3,2
S-1052,1053.93,41.19,1.0,100.0,4,2
S-1053,2310.09,110.9,5.0,65.12,4,0
S-1054,1170.93,58.14,1.0,85.52,6,2
S-1055,2297.2,54.18,5.0,72.98,4,0
S-1056,1671.61,84.23,5.0,77.29,6,0
S-1057,2274.66,51.03,5.0,44.55,7,0
S-1058,2450121.67,110.46,2.0,50.15,4,0
S-1059,2267.03,107.93,8.0,63.98,4,0
S-1060,400.71,15.59,0.0,23.79,2,1
S-1061,109.3,12.72,0.0,67.99,0,1
S-1062,1905.88,71.07,5.0,67.01,5,0
S-1063,205.51,5.92,0.0,51.85,1,1
S-1064,3637.39,73.99,4.0,80.81,5,0
S-1065,1009.18,43.19,2.0,90.32,5,2
S-1066,326.93,8.66,0.0,51.59,2,1
S-1067,549.67,37.54,0.0,98.06,6,2
S-1068,197.29,20.22,1.0,12.56,1,1
S-1069,230.65,20.39,0.0,40.16,3,1
S-1070,289.29,12.66,0.0,25.23,2,1
S-1071,2723.77,113.12,5.0,82.01,5,0
S-1072,2219.36,59.44,0.0,74.27,6,2
S-1073,2769952.21,79.65,5.0,71.7,5,0
S-1074,1480.73,54.06,0.0,100.0,5,2
S-1075,899.37,43.18,0.0,94.69,4,2
S-1076,1074.82,34.55,1.0,98.93,5,2
S-1077,3048.81,81.91,4.0,80.22,7,0
S-1078,1698.25,75.68,8.0,64.05,6,0
S-1079,2688.25,100.45,2.0,55.86,6,0
S-1080,438.94,23.5,1.0,14.15,3,1
S-1081,3330.27,96.07,5.0,72.13,6,0
S-1082,1549.84,66.71,1.0,100.0,4,2
S-1083,205.33,21.4,1.0,55.48,0,1
S-1084,319.15,8.2,0.0,38.26,0,1
S-1085,2275.09,107.97,5.0,57.03,4,0
S-1086,2713.28,104.19,0.0,63.18,4,2
S-1087,2805.15,66.24,3.0,61.6,4,0
S-1088,170.07,16.58,0.0,47.81,0,1
S-1089,488.39,23.87,0.0,11.94,1,1
S-1090,2963.04,56.53,2.0,81.77,5,2
S-1091,1948.91,74.41,4.0,64.06,4,0
S-1092,304.04,12.21,0.0,47.61,1,1
S-1093,237.37,19.5,0.0,48.31,1,1
S-1094,3254.39,112.37,5.0,77.17,7,0
S-1095,2512.93,92.9,9.0,58.57,5,0
S-1096,449.53,9.37,0.0,49.33,0,1
S-1097,2346.37,104.38,6.0,44.58,4,0
S-1098,2677.1,45.0,4.0,73.75,5,2
S-1100,1744.01,88.47,4.0,47.26,5,0
S-1101,928.64,47.11,2.0,82.49,3,2
S-1102,305.9,17.49,0.0,56.89,0,1
S-1104,245346.42,8.44,1.0,61.42,1,1
S-1105,424.63,8.29,1.0,32.76,3,1
S-1106,853.63,50.0,2.0,92.44,3,2
S-1107,328.71,15.53,0.0,32.98,1,1
S-1108,2830.18,87.6,4.0,58.47,7,0
S-1109,398.51,23.42,0.0,37.02,2,1
S-1110,1244.31,33.3,1.0,96.47,2,2
S-1111,3436.78,87.38,6.0,50.58,5,0
S-1112,2757.08,60.95,4.0,77.07,4,0
S-1113,107705.66,19.66,2.0,23.74,1,1
S-1114,1880693.07,34.16,1.0,97.48,4,2
S-1115,108.98,10.24,1.0,19.58,0,1
S-1116,1955559.61,108.85,4.0,78.35,5,0
S-1117,1570.01,77.6,1.0,87.89,3,2
S-1118,288.29,27.79,1.0,61.08,1,1
S-1119,2349.67,98.3,5.0,62.89,3,0
S-1120,931.84,54.06,1.0,89.09,3,2
S-1121,3060.41,114.79,2.0,56.62,5,0
S-1122,1604621.31,44.48,1.0,93.02,7,2
S-1123,2404.99,83.99,2.0,74.91,3,2
S-1124,347.2,20.51,2.0,56.58,2,1
S-1125,2723.4,92.4,7.0,77.8,6,0
S-1126,187.65,8.35,0.0,10.0,1,1
S-1127,1324.06,59.44,0.0,89.39,5,2
